Temperatura,L1,Otra
554.0875,19984,280.9375
555.10313,20295,281.95313
556.11875,20914,282.96875
557.13438,21441,283.98438
558.15,21650,285
559.16563,22263,286.01563
560.18125,22829,287.03125
561.19688,23096,288.04688
562.2125,23696,289.0625
563.22813,24055,290.07813
564.24375,24276,291.09375
565.25938,24688,292.10938
566.275,24644,293.125
567.29063,25085,294.14063
568.30625,25442,295.15625
569.32188,25290,296.17188
570.3375,25311,297.1875
571.35313,25303,298.20313
572.36875,25147,299.21875
573.38438,25117,300.23438
574.4,24293,301.25
575.41563,24291,302.26563
576.43125,23741,303.28125
577.44688,23437,304.29688
578.4625,22708,305.3125
579.47813,22156,306.32813
580.49375,21504,307.34375
581.50938,20505,308.35938
582.525,19728,309.375
583.54063,19080,310.39063
584.55625,18219,311.40625
585.57188,17068,312.42188
586.5875,16240,313.4375
587.60313,15062,314.45313
588.61875,14370,315.46875
589.63438,13495,316.48438
590.65,12858,317.5
591.66563,11779,318.51563
592.68125,11195,319.53125
593.69688,10415,320.54688
594.7125,9678,321.5625
595.72813,8895,322.57813
596.74375,8465,323.59375
597.75938,7793,324.60938
598.775,7215,325.625
599.79063,6893,326.64063
600.80625,6328,327.65625
601.82188,6040,328.67188
602.8375,5702,329.6875
603.85313,5494,330.70313
604.86875,5190,331.71875
605.88438,4874,332.73438
606.9,4753,333.75
607.91563,4673,334.76563
608.93125,4443,335.78125
609.94688,4374,336.79688
610.9625,4334,337.8125
611.97813,4294,338.82813
612.99375,4056,339.84375
614.00938,4156,340.85938
615.025,4050,341.875
616.04063,3901,342.89063
617.05625,3980,343.90625
618.07188,3943,344.92188
619.0875,3975,345.9375
620.10313,3848,346.95313
621.11875,3838,347.96875
